Starting JUCE FFT OSC (press Enter to quit)
OSC connected to 127.0.0.1:57122
Display noise-floor (min dB) set to -50
Flags: host=127.0.0.1 port=57122 testTone=off interp=on voiceOnly=off rmsAgg=on senderDiag=off senderInterval=33 voiceMin=80 voiceMax=3000 mapMinSet=no mapMin=0 mapMaxSet=no mapMax=0 displayNoiseFloorDb=-50
Audio device started: MacBook Pro Speakers rate=44100 inputs=1 outputs=2
High-pass filter enabled: cutoff=300 Hz
Audio device init: MacBook Pro Speakers rate=44100 inputs=1 outputs=2
Band centers (Hz): 80 87.58 95.88 104.97 114.91 125.8 137.72 150.77 165.06 180.7 197.83 216.57 237.1 259.56 284.16 311.09 340.57 372.84 408.17 446.85 489.19 535.55 586.3 641.85 702.68 769.26 842.16 921.96 1009.33 1104.97 1209.68 1324.31 1449.81 1587.19 1737.6 1902.25 2082.51 2279.86 2495.9 2732.41 2991.34 3274.8 3585.12 3924.85 4296.78 4703.95 5149.7 5637.69 6171.92 6756.78 7397.06 8098.02 8865.39 9705.49 10625.2 11632 12734.3 13941 15262.1 16708.4 18291.7 20025 21922.6 24000
DIAG_INPUT: rms=0.000950716 peak=0 playbackGain=1
FFT produced count=1024 first=0.131043
DIAG_INPUT: rms=0.00120901 peak=0 playbackGain=1
DIAG_INPUT: rms=0.0172545 peak=0 playbackGain=1
FFT produced count=1024 first=0.37294
DIAG_INPUT: rms=0.0128177 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00609845 peak=0 playbackGain=1
FFT produced count=1024 first=0.179796
DIAG_INPUT: rms=0.00210106 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00081179 peak=0 playbackGain=1
FFT produced count=1024 first=0.0573575
DIAG_INPUT: rms=0.000752225 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00130419 peak=0 playbackGain=1
FFT produced count=1024 first=0.0678871
DIAG_INPUT: rms=0.00117763 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000837077 peak=0 playbackGain=1
FFT produced count=1024 first=0.228649
DIAG_INPUT: rms=0.000952068 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00102453 peak=0 playbackGain=1
FFT produced count=1024 first=0.0224431
DIAG_INPUT: rms=0.00104899 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000983751 peak=0 playbackGain=1
FFT produced count=1024 first=0.166704
DIAG_INPUT: rms=0.000729619 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000949449 peak=0 playbackGain=1
FFT produced count=1024 first=0.0457008
DIAG_INPUT: rms=0.000670753 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000643163 peak=0 playbackGain=1
FFT produced count=1024 first=0.119018
DIAG_INPUT: rms=0.000736709 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00102834 peak=0 playbackGain=1
FFT produced count=1024 first=0.121972
DIAG_INPUT: rms=0.00140784 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000709393 peak=0 playbackGain=1
FFT produced count=1024 first=0.00229661
DIAG_INPUT: rms=0.00107081 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000898975 peak=0 playbackGain=1
FFT produced count=1024 first=0.178879
DIAG_INPUT: rms=0.000985003 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000769698 peak=0 playbackGain=1
FFT produced count=1024 first=0.0840592
DIAG_INPUT: rms=0.000941651 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00732087 peak=0 playbackGain=1
FFT produced count=1024 first=0.0650781
DIAG_INPUT: rms=0.000940935 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000966004 peak=0 playbackGain=1
FFT produced count=1024 first=0.178157
DIAG_INPUT: rms=0.00084536 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00081406 peak=0 playbackGain=1
FFT produced count=1024 first=1.75733
DIAG_INPUT: rms=0.0154596 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000669771 peak=0 playbackGain=1
FFT produced count=1024 first=0.122804
DIAG_INPUT: rms=0.000847507 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00121207 peak=0 playbackGain=1
FFT produced count=1024 first=0.0974526
DIAG_INPUT: rms=0.000948201 peak=0 playbackGain=1
DIAG_INPUT: rms=0.0299619 peak=0 playbackGain=1
FFT produced count=1024 first=0.116193
DIAG_INPUT: rms=0.0014086 peak=0 playbackGain=1
DIAG_INPUT: rms=0.0165958 peak=0 playbackGain=1
FFT produced count=1024 first=0.241195
DIAG_INPUT: rms=0.0126212 peak=0 playbackGain=1
DIAG_INPUT: rms=0.0049246 peak=0 playbackGain=1
FFT produced count=1024 first=0.057868
DIAG_INPUT: rms=0.0150187 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00486964 peak=0 playbackGain=1
FFT produced count=1024 first=0.165833
DIAG_INPUT: rms=0.0153319 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00137242 peak=0 playbackGain=1
FFT produced count=1024 first=0.0586089
DIAG_INPUT: rms=0.00170728 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00216408 peak=0 playbackGain=1
FFT produced count=1024 first=0.164285
DIAG_INPUT: rms=0.00184145 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00550397 peak=0 playbackGain=1
FFT produced count=1024 first=0.0923197
DIAG_INPUT: rms=0.00171184 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000877442 peak=0 playbackGain=1
FFT produced count=1024 first=0.0761795
DIAG_INPUT: rms=0.000791885 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000669067 peak=0 playbackGain=1
FFT produced count=1024 first=0.13931
DIAG_INPUT: rms=0.000768516 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000794801 peak=0 playbackGain=1
FFT produced count=1024 first=0.0946914
DIAG_INPUT: rms=0.00115999 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000869437 peak=0 playbackGain=1
FFT produced count=1024 first=0.231004
DIAG_INPUT: rms=0.000676533 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000780704 peak=0 playbackGain=1
FFT produced count=1024 first=0.115332
DIAG_INPUT: rms=0.00107496 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000750127 peak=0 playbackGain=1
FFT produced count=1024 first=0.280271
DIAG_INPUT: rms=0.00073776 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00260957 peak=0 playbackGain=1
FFT produced count=1024 first=0.33931
DIAG_INPUT: rms=0.00209649 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00107151 peak=0 playbackGain=1
FFT produced count=1024 first=0.0272617
DIAG_INPUT: rms=0.00252658 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00121848 peak=0 playbackGain=1
FFT produced count=1024 first=0.0734581
DIAG_INPUT: rms=0.00467263 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00078568 peak=0 playbackGain=1
FFT produced count=1024 first=0.073949
DIAG_INPUT: rms=0.0012388 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00119281 peak=0 playbackGain=1
FFT produced count=1024 first=0.205295
DIAG_INPUT: rms=0.00112505 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00158267 peak=0 playbackGain=1
FFT produced count=1024 first=0.316516
DIAG_INPUT: rms=0.00169099 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00144494 peak=0 playbackGain=1
FFT produced count=1024 first=1.01153
DIAG_INPUT: rms=0.0137966 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00253146 peak=0 playbackGain=1
FFT produced count=1024 first=0.111863
DIAG_INPUT: rms=0.000739963 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000767874 peak=0 playbackGain=1
FFT produced count=1024 first=0.278659
DIAG_INPUT: rms=0.00334175 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000945989 peak=0 playbackGain=1
FFT produced count=1024 first=0.173834
DIAG_INPUT: rms=0.00136994 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000922663 peak=0 playbackGain=1
FFT produced count=1024 first=0.0691847
DIAG_INPUT: rms=0.000881323 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00222019 peak=0 playbackGain=1
FFT produced count=1024 first=0.0869696
DIAG_INPUT: rms=0.00236119 peak=0 playbackGain=1
